N.º;País (o territorio dependiente);Población estimada por la ONU para mediados del año  1950;% del total mundial;#;País;Índice de Desarrollo Humano[10]​[1]​;Índice de Desarrollo Humano[10]​[1]​.1;Índice de Desarrollo Humano[10]​[1]​.2;Índice de Desarrollo Humano[10]​[1]​.3;Índice de Desarrollo Humano[10]​[1]​.4;Índice de Desarrollo Humano[10]​[1]​.5;Índice de Desarrollo Humano[10]​[1]​.6
59;Malasia;5 973 000;24.0;67°;Malasia;0819;0810;0810;0800;0779;0733;0009
90;Malaui;2 950 000;12.0;;;;;;;;;
;;;;172°;Malawi;0517;0513;0512;0504;0475;0394;0004
181;Maldivas;74 000;0.0;93°;Maldivas;0766;0764;0730;0725;0689;0639;0002
68;Mali;4 695 000;19.0;;;;;;;;;
159;Malta;292 000;1.0;24°;Malta;0924;0917;0903;0892;0867;0790;0003
;;;;188°;Malí;0419;0410;0414;0413;0410;0320;0005
38;Marruecos;8 946 000;36.0;120°;Marruecos;0710;0704;0683;0659;0607;0528;0006
162;Martinica (Francia);232 000;1.0;;;;;;;;;
146;Mauricio;525 000;2.0;73°;Mauricio;0806;0794;0795;0792;0755;0683;0012
142;Mauritania;659 000;3.0;163°;Mauritania;0563;0562;0554;0551;0525;0468;0001
209;Mayotte (Francia);21 000;0.0;;;;;;;;;
203;Micronesia;32 000;0.0;;;;;;;;;
101;Moldavia;2 370 000;9.0;86°;Moldavia;0785;0784;0770;0759;0739;0702;0001
140;Mongolia;781 000;3.0;104°;Mongolia;0747;0742;0741;0753;0714;0611;0005
155;Montenegro;402 000;2.0;49°;Montenegro;0862;0853;0841;0839;0815;0754;0004
215;Montserrat (RU);13 000;0.0;;;;;;;;;
61;Mozambique;5 920 000;24.0;182°;Mozambique;0493;0490;0477;0457;0419;0311;0003
-;Mundo;2 499 327 000 000;10000.0;Mundo;Mundo;0756;0752;0742;0731;0707;0651;0004
;;;;150°;Myanmar;0609;0606;0609;0566;0515;0415;0003
17;México;27 600 000;110.0;81°;México;0789;0783;0763;0773;0751;0712;0006
210;Mónaco;20 000;0.0;;;;;;;;;
147;Namibia;515 000;2.0;136°;Namibia;0665;0649;0647;0630;0591;0561;0016
231;Nauru;3 000;0.0;124°;Nauru;0703;0700;0660;0616;0589;N / D;0003
42;Nepal;8 399 000;34.0;145°;Nepal;0622;0605;0599;0575;0551;0471;0017
126;Nicaragua;1 330 000;5.0;123°;Nicaragua;0706;0701;0676;0679;0651;0593;0005
15;Nigeria;37 189 000;149.0;164°;Nigeria;0560;0557;0547;0530;0502;0435;0003
229;Niue (NZ);4 000;0.0;;;;;;;;;
83;Noruega;3 281 000;13.0;2°;Noruega;0970;0967;0969;0959;0947;0924;0002
184;Nueva Caledonia (Francia);64 000;0.0;;;;;;;;;
113;Nueva Zelanda;1 912 000;8.0;17°;Nueva Zelanda;0938;0933;0940;0934;0926;0896;0003
95;Níger;2 569 000;10.0;188°;Níger;0419;0414;0404;0374;0339;0266;0002
150;Omán;457 000;2.0;50°;Omán;0858;0846;0843;0838;0804;0707;0012
13;Pakistán;37 696 000;151.0;168°;Pakistán;0544;0544;0536;0527;0500;0436;0000
223;Palaos;7 000;0.0;;;;;;;;;
;;;;84°;Palau;0786;0786;0799;0802;0779;0736;0005
135;Palestina;945 000;4.0;133°;Palestina;0674;0733;0718;0712;0691;0654;0059
137;Panamá;861 000;3.0;59°;Panamá;0839;0835;0808;0803;0775;0718;0007
117;Papúa Nueva Guinea;1 543 000;6.0;160°;Papúa Nueva Guinea;0576;0572;0567;0543;0503;0456;0004
119;Paraguay;1 505 000;6.0;99°;Paraguay;0756;0747;0742;0737;0709;0664;0009
;;;;#;País;2023;2022;2020;2015;2010;2000;Crecimiento (2022 - 2023)
35;Países Bajos;10 094 000;40.0;8°;Países Bajos;0955;0953;0945;0940;0925;0900;0002
46;Perú;7 679 000;31.0;79°;Perú;0794;0790;0769;0768;0731;0682;0004
183;Polinesia Francesa;65 000;0.0;;;;;;;;;
19;Polonia;24 786 000;99.0;35°;Polonia;0906;0902;0880;0879;0852;0801;0004
41;Portugal;8 417 000;34.0;40°;Portugal;0890;0883;0870;0857;0836;0797;0007
106;Puerto Rico (EE. UU.);2 230 000;9.0;;;;;;;;;
9;Reino Unido;50 055 000;200.0;13°;Reino Unido;0946;0946;0930;0931;0921;0870;0000
121;República Centroafricana;1 437 000;6.0;191°;República Centroafricana;0414;0386;0386;0377;0358;0333;0000
39;República Checa;8 917 000;36.0;29°;República Checa;0915;0911;0898;0900;0880;0817;0004
;;;;171°;República Democratica del Congo;0522;0514;0506;0477;0440;0391;0008
32;República Democrática del Congo;12 296 000;49.0;;;;;;;;;
100;República Dominicana;2 382 000;10.0;89°;República Dominicana;0776;0778;0767;0747;0715;0658;0002
49;República de China (o Taiwán);7 623 000;31.0;;;;;;;;;
138;República del Congo;835 000;3.0;138°;República del Congo;0649;0644;0643;0643;0609;0545;0005
217;República Árabe Saharaui Democrática;13 000;0.0;;;;;;;;;
161;Reunión (Francia);249 000;1.0;;;;;;;;;
109;Ruanda;2 154 000;9.0;159°;Ruanda;0578;0570;0555;0525;0504;0340;0008
29;Rumania;16 393 000;66.0;;;;;;;;;
;;;;55°;Rumanía;0845;0840;0832;0823;0822;0730;0005
4;Rusia;102 580 000;410.0;64°;Rusia;0832;0826;0818;0833;0808;0750;0006
176;Samoa;88 000;0.0;122°;Samoa;0708;0703;0708;0708;0708;0676;0005
211;Samoa Americana (EE. UU.);19 000;0.0;;;;;;;;;
234;San Bartolomé (Francia);2 000;0.0;;;;;;;;;
195;San Cristóbal y Nieves;47 000;0.0;58°;San Cristóbal y Nieves;0840;0829;0828;0830;0791;0758;0006
216;San Marino;13 000;0.0;29°;San Marino;0915;0910;0895;0896;0905;0881;0005
232;San Martín (Francia);3 000;0.0;;;;;;;;;
237;San Martín (PB);1 000;0.0;;;;;;;;;
230;San Pedro y Miquelón (Francia);4 000;0.0;;;;;;;;;
186;San Vicente y las Granadinas;62 000;0.0;76°;San Vicente y las Granadinas;0798;0794;0781;0765;0746;0700;0004
226;Santa Elena, Ascensión y Tristán de Acuña (RU);5 000;0.0;;;;;;;;;
177;Santa Lucía;87 000;0.0;103°;Santa Lucía;0748;0747;0734;0757;0749;0710;0001
188;Santo Tomé y Príncipe;61 000;0.0;141°;Santo Tomé y Príncipe;0637;0636;0628;0608;0564;0535;0001
98;Senegal;2 496 000;10.0;169°;Senegal;0530;0526;0522;0509;0477;0398;0004
58;Serbia;6 018 000;24.0;62°;Serbia;0833;0826;0809;0802;0775;0701;0007
200;Seychelles;38 000;0.0;54°;Seychelles;0848;0836;0853;0819;0758;N / D;0007
110;Sierra Leona;2 001 000;8.0;185°;Sierra Leona;0467;0463;0454;0432;0410;0318;0004
133;Singapur;1 007 000;4.0;13°;Singapur;0946;0942;0940;0935;0932;0882;0004
